ï»¿id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
W131002293;1390/46;;;131S;1932-01-22;2017-06-22;1901-07-01;2017-04-10;D;S;BIVER SPORTS;BIVER SPORTS;se livrer Ã  l'exercice du football. Elle devra Ãªtre en relation constantes avec les sociÃ©tÃ©s sportives voisines;011005;000000;;; ;PL;Roger Bossa;_Biver;13041;13120;Gardanne;;;;ORATOIRE DE BOUC;;13120;GARDANNE;FRANCE;PM;;1;DISSOLUTION BOITE 161  23/06/2017;D;2017-07-01 12:45:33
W131002372;0131004316;;;131S;1921-10-01;2017-06-22;1921-10-23;2017-04-15;D;S;AVENIR SPORTING GARDANNAIS;AVENIR SPORTING GARDANNAIS;pratique du football et enseignement du football;011075;000000;Stade  Victor savine;;;AV;LÃ©o Lagrange;_;13041;13120;Gardanne;;;;257 CHEMIN DE LA GARDE;;13120;GARDANNE;FRANCE;PM;;0;DISSOLUTION BTE 161  23/06/2017;D;2017-07-01 12:45:33
W131002374;0131022885;;;131S;2000-09-28;2006-12-11;2000-10-14;0001-01-01;D;S;OLYMPIQUE CADENEAUX PROVENCAL;OLYMPIQUE CADENEAUX PROVENCAL;de dÃ©velopper le football,  susciter des liens d'amitiÃ©s entre les membres et dÃ©velopper la jeunesse sportive;011075;000000;Bar provenÃ§al;7;;RUE;Jean  Aicard;_;13071;13170;Les Pennes-Mirabeau;;Bar provenÃ§al;;7 rue Jean  Aicard;;13170;LES PENNES MIRABEAU;FRANCE;PM;;0;;A;2007-05-29 15:07:40
W131002434;0131000760;;;131S;1986-05-27;2012-06-13;1986-06-25;2012-05-31;D;S;FOOTBALL CLUB DE ROUSSET SAINTE VICTOIRE;FC ROUSSET SAINTE VICTOIRE;FOOTBALL;011075;000000;;;;CHEM1;de la Tuilerie;_;13087;13790;Rousset;;;;RESIDENCE LES VIGNES;;13790;ROUSSET;FRANCE;PM;;0;DISSOLUTION BTE 120  14/06/2012;D;2012-06-28 11:15:16
W131002476;210/88;;;131S;1988-06-06;2025-01-22;1988-06-22;0001-01-01;D;S;AIX UNIVERSITE CLUB FOOTBALL (A.U.C.F.);AIX UNIVERSITE CLUB FOOTBALL (A.U.C...;pratique de l'Ã©ducation physique et des sports et en particulier celle du football dans le cadre civil, scolaire, universitaire, corporatif et de loisirs;011075;000000;Stade Xavier Gautier;33;;AV;des Infirmeries;_;13001;13100;Aix-en-Provence;;;BT 1;170 AVENUE DE BAGATELLE;;13090;AIX EN PROVENCE;FRANCE;PM;;1;;A;2025-04-22 06:31:57
W131002484;0131004493;;;131S;1992-06-10;2024-06-20;1992-07-01;0001-01-01;D;S;ASSOCIATION SPORTIVE D'AIX-EN-PROVENCE (ASA);ASA;"de promouvoir la pratique et le dÃ©veloppement du football, elle pourra notamment organiser Ã  cet effet toute manifestation ou rÃ©union susceptible de contribuer directement ou indirectement Ã  la rÃ©alisation de cet objet
de gÃ©rer et animer des activitÃ©s sportives organisÃ©es par la FÃ©dÃ©ration FranÃ§aise de Football et la Ligue Nationale de Football";011075;000000;;10;;AV;des DÃ©portÃ©s de la RÃ©sistance;_;13001;13100;Aix-en-Provence;;;;3 CHEMIN DEL A VIERGE NOIRE;;13090;AIX EN PROVENCE;FRANCE;PM;;0;;A;2024-12-20 19:00:02
W131002488;0131021780;42156885800011;;133P;1988-08-17;2024-03-08;1988-08-31;0001-01-01;D;S;LA PLATA POP CLUB;LA PLATA POP CLUB;le dÃ©veloppement et la pratique du football;011075;000000;Villa 8 Parc Raphael;17;;RUE;de la Turbine;;13208;13008;Marseille 8;;;PARC RAPHAEL VILLA 8;17 RUE DE LA TURBINE;;13008;MARSEILLE 08;FRANCE;PM;;0;;A;2024-09-07 18:07:51
W131002525;;;;131S;2007-06-29;2007-06-29;2007-07-14;0001-01-01;D;S;FUTSAL PEYROLLAIS;FUTSAL PEYROLLAIS;pratique du football en salle (futsal);011075;007000;;; ;;ZAC Val de Durance;_;13074;13860;Peyrolles-en-Provence;;;;ZAC Val de Durance;;13860;Peyrolles-en-Provence;FRANCE;PM;;0;;A;2014-04-18 15:44:06
W131002532;;;;133P;2007-06-29;2023-04-21;2007-07-14;0001-01-01;D;S;ACADÃ‰MIE DES GARDIENS DE BUT SUD PROVENCE (A.G.B.S.P);ECOLE DE GARDIENS DE BUT DE BIVER (...;formation et entraÃ®nement de gardiens de but de football ainsi que la formation d'Ã©ducateurs de gardiens de but;011075;002000;;16; ;RUE;Emile Duclaux;_;13204;13004;Marseille;;;;16 RUE EMILE DUCLAUX;;13004;MARSEILLE;FRANCE;PM;;0;;A;2023-10-21 18:00:01
W131002612;0131026356;;;131S;2005-08-09;2020-09-11;2005-09-10;2020-06-27;D;S;UNION FUTSAL EGUILLEN (UFE);UNION FUTSAL EGUILLEN 'UFE';REGROUPER DES PERSONNES AYANT POUR OBJECTIF L'INITIATION, L'ENTRAINEMENT ET LA PRATIQUE DU FUTSAL AINSI QUE TOUTES ACTIVITES QUI S'Y RATTACHE;011075;000000;salle omnisports;; ;;;_;13032;13510;Eguilles;;;;SALLE OMNISPORTS;;13510;EGUILLES;FRANCE;PM;;0;;D;2020-09-19 12:45:32
